EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
34,proton,255.957192,255.957192,2.331999,-92.000000,-0.269783,92.891561,-90.122327,-0.002132,-0.998725,-0.050446
134,proton,255.198868,255.198868,0.990167,-92.000000,0.084346,89.883234,-89.201821,0.013930,-0.999901,0.002038
334,proton,254.423658,137.865621,-1.339019,-92.000000,2.778021,88.746692,-89.331883,0.011658,-0.999693,0.021873
237,proton,254.068353,254.068353,-0.160123,-92.000000,-1.060627,89.735216,-89.469794,0.009254,-0.999947,0.004621
36,proton,257.021895,231.296898,-1.084566,-92.000000,2.097314,90.256599,-92.495894,-0.043547,-0.999041,-0.004478
137,proton,257.097055,257.097055,-1.068162,-92.000000,1.013353,90.650664,-88.773133,0.021410,-0.999706,-0.011356
337,proton,253.101772,253.101772,1.876508,-92.000000,2.198099,90.037803,-89.625204,0.006541,-0.999978,-0.000660
38,proton,255.053339,226.463096,-2.341240,-92.000000,2.715381,88.928787,-92.475178,-0.043179,-0.998892,0.018695
338,proton,254.804391,168.217334,2.870564,-92.000000,0.735410,88.978024,-90.110358,-0.001926,-0.999839,0.017836
240,proton,255.385737,202.207731,-1.070996,-92.000000,-0.727784,91.077286,-90.928409,-0.016200,-0.999692,-0.018801
339,proton,254.498567,254.498567,1.376557,-92.000000,0.814217,88.278614,-89.040053,0.016746,-0.999408,0.030039
241,proton,253.509528,253.665656,1.874358,-92.000000,-0.088004,89.025011,-89.625467,0.006536,-0.999834,0.017016
242,proton,256.004287,141.540045,-2.872735,-92.000000,-0.883566,91.455948,-92.584917,-0.045085,-0.998660,-0.025408
140,proton,252.709743,252.709743,-0.367881,-92.000000,-2.394503,90.461195,-90.439034,-0.007662,-0.999938,-0.008049
141,proton,255.629232,255.629232,-2.088282,-92.000000,1.027286,89.295950,-90.672704,-0.011740,-0.999856,0.012288
42,proton,254.883304,254.883304,-0.559358,-92.000000,1.017648,90.301977,-90.478808,-0.008357,-0.999951,-0.005270
343,proton,256.845317,256.845317,0.222196,-92.000000,-0.527714,90.924906,-90.854717,-0.014915,-0.999758,-0.016142
43,proton,254.803603,254.802828,-1.484069,-92.000000,-1.936875,89.825427,-89.278839,0.012586,-0.999916,0.003047
246,proton,252.498665,252.498665,-1.754385,-92.000000,-0.461873,90.507824,-90.021010,-0.000367,-0.999961,-0.008863
44,proton,254.724615,254.724615,2.337188,-92.000000,1.798100,90.476509,-89.084322,0.015980,-0.999838,-0.008317
247,proton,254.505698,254.508496,-1.347051,-92.000000,-2.512074,89.824092,-92.049364,-0.035760,-0.999356,0.003070
144,proton,256.331776,256.331776,-2.202941,-92.000000,-0.033352,88.746395,-91.368987,-0.023885,-0.999475,0.021878
145,proton,257.326820,257.326820,2.232780,-92.000000,-0.583046,89.621261,-90.111510,-0.001946,-0.999976,0.006610
