EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
0,proton,106.882095,106.882095,-1.550164,-92.000000,-0.231385,90.716680,-89.236706,0.013321,-0.999833,-0.012508
302,proton,103.059451,103.059451,-0.645687,-92.000000,1.164792,87.763267,-89.937460,0.001091,-0.999238,0.039028
2,proton,109.486843,109.486843,1.730819,-92.000000,-1.198970,89.940896,-86.861958,0.054742,-0.998500,0.001032
203,proton,108.982663,108.982663,-1.661033,-92.000000,1.152527,88.823140,-88.273503,0.030122,-0.999335,0.020539
303,proton,103.404701,103.404701,-2.223815,-92.000000,-0.195550,86.003617,-92.975844,-0.051789,-0.996223,0.069694
4,proton,100.465260,100.465260,1.857956,-92.000000,0.427276,89.749799,-83.824705,0.107570,-0.994188,0.004367
106,proton,104.532876,104.532876,0.129466,-92.000000,-0.641195,89.663154,-92.351751,-0.041034,-0.999140,0.005879
306,gamma,0.477015,7.019800,-3.000000,-92.182701,-2.820298,162.552876,17.442246,0.286039,0.089871,-0.953994
206,proton,103.929685,103.929685,2.654488,-92.000000,0.970491,89.141341,-91.345592,-0.023480,-0.999612,0.014986
7,proton,107.521489,107.521489,-1.077435,-92.000000,2.468653,89.591921,-92.571695,-0.044868,-0.998968,0.007122
108,proton,103.491370,103.491370,1.800450,-92.000000,1.268483,89.424827,-86.263756,0.065160,-0.997824,0.010038
210,proton,106.431079,106.431079,1.504527,-92.000000,1.552980,89.565898,-92.112619,-0.036863,-0.999292,0.007576
10,proton,105.063368,105.063368,-1.360284,-92.000000,-0.588588,89.915487,-92.358243,-0.041147,-0.999152,0.001475
111,proton,103.894715,103.894715,2.322076,-92.000000,-2.746814,94.172503,-89.882163,0.002051,-0.997347,-0.072760
311,proton,106.286271,106.286271,-0.367037,-92.000000,-1.870921,91.626401,-89.289172,0.012401,-0.999520,-0.028382
12,proton,103.843038,103.843038,0.016025,-92.000000,1.300302,90.181418,-91.101088,-0.019216,-0.999810,-0.003166
113,proton,104.190215,104.190215,-2.310457,-92.000000,-0.333555,89.343814,-91.211984,-0.021150,-0.999711,0.011452
13,neutron,127.890815,0.000000,2.297070,-92.000000,0.295634,89.908356,-83.165998,0.118993,-0.992894,0.001599
213,proton,105.337403,105.337403,-0.664437,-92.000000,2.840990,88.300927,-88.939645,0.018497,-0.999389,0.029650
