EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
126,neutron,65.886825,0.000000,1.340191,-92.000000,1.042656,83.313620,-95.578650,-0.096551,-0.988494,0.116435
339,neutron,66.000000,23.035713,0.555185,-92.000000,-0.020203,90.000000,-90.000000,0.000000,-1.000000,0.000000
342,neutron,66.000000,0.226220,-2.710255,-92.000000,-0.274262,90.000000,-90.000000,0.000000,-1.000000,0.000000
343,gamma,0.159045,33.225803,-1.491173,-92.000000,-0.905403,138.843828,-43.724344,0.475601,-0.454881,-0.752919
231,neutron,66.000000,0.494109,-0.013257,-92.000000,-0.137295,90.000000,-90.000000,0.000000,-1.000000,0.000000
232,neutron,66.000000,0.000000,1.943851,-92.000000,0.180177,90.000000,-90.000000,0.000000,-1.000000,0.000000
233,neutron,66.000000,21.709668,2.709783,-92.000000,-2.790399,90.000000,-90.000000,0.000000,-1.000000,0.000000
236,neutron,66.000000,0.113826,1.994840,-92.000000,1.061913,90.000000,-90.000000,0.000000,-1.000000,0.000000
345,neutron,66.000000,0.146323,-0.516470,-92.000000,1.971255,90.000000,-90.000000,0.000000,-1.000000,0.000000
241,neutron,66.000000,0.000000,-1.889868,-92.000000,-2.283190,90.000000,-90.000000,0.000000,-1.000000,0.000000
242,neutron,66.000000,0.907266,1.138354,-92.000000,2.500109,90.000000,-90.000000,0.000000,-1.000000,0.000000
243,neutron,66.000000,27.309399,-1.399540,-92.000000,-2.029930,90.000000,-90.000000,0.000000,-1.000000,0.000000
244,neutron,66.000000,0.000000,1.474232,-92.000000,-1.535431,90.000000,-90.000000,0.000000,-1.000000,0.000000
245,neutron,66.000000,2.098905,-0.045521,-92.000000,0.816594,90.000000,-90.000000,0.000000,-1.000000,0.000000
31,neutron,66.000000,22.413824,0.114750,-92.000000,2.265414,90.000000,-90.000000,0.000000,-1.000000,0.000000
33,neutron,66.000000,4.941732,-0.921147,-92.000000,2.324290,90.000000,-90.000000,0.000000,-1.000000,0.000000
129,neutron,66.000000,19.406422,-2.814661,-92.000000,2.820458,90.000000,-90.000000,0.000000,-1.000000,0.000000
36,neutron,66.000000,0.697810,-1.842297,-92.000000,0.795201,90.000000,-90.000000,0.000000,-1.000000,0.000000
250,neutron,66.000000,0.000000,-0.132178,-92.000000,1.414904,90.000000,-90.000000,0.000000,-1.000000,0.000000
251,neutron,66.000000,0.052121,1.786849,-92.000000,-1.979058,90.000000,-90.000000,0.000000,-1.000000,0.000000
255,neutron,66.000000,0.360254,2.673705,-92.000000,1.882727,90.000000,-90.000000,0.000000,-1.000000,0.000000
40,neutron,66.000000,19.870525,2.446189,-92.000000,-2.337954,90.000000,-90.000000,0.000000,-1.000000,0.000000
257,neutron,66.000000,42.869746,0.873277,-92.000000,-1.370409,90.000000,-90.000000,0.000000,-1.000000,0.000000
