EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
255,neutron,57.000000,0.358037,-0.471373,-92.000000,0.792517,90.000000,-90.000000,0.000000,-1.000000,0.000000
257,neutron,57.000000,37.656398,-2.621444,-92.000000,1.656398,90.000000,-90.000000,0.000000,-1.000000,0.000000
25,neutron,57.000000,18.013174,1.581530,-92.000000,-1.658339,90.000000,-90.000000,0.000000,-1.000000,0.000000
330,neutron,57.000000,8.930012,1.261499,-92.000000,-1.913288,90.000000,-90.000000,0.000000,-1.000000,0.000000
132,neutron,57.000000,17.353778,-0.876778,-92.000000,0.468437,90.000000,-90.000000,0.000000,-1.000000,0.000000
134,neutron,57.000000,0.569364,-1.903856,-92.000000,-0.237979,90.000000,-90.000000,0.000000,-1.000000,0.000000
335,neutron,57.000000,0.876056,2.907751,-92.000000,2.806082,90.000000,-90.000000,0.000000,-1.000000,0.000000
337,neutron,57.000000,0.290415,-1.589341,-92.000000,0.714662,90.000000,-90.000000,0.000000,-1.000000,0.000000
338,neutron,56.816217,37.886703,1.952965,-92.000000,-1.495726,91.671161,-78.143532,0.205373,-0.978249,-0.029163
263,neutron,57.000000,0.000000,1.046185,-92.000000,0.875984,90.000000,-90.000000,0.000000,-1.000000,0.000000
27,neutron,57.000000,12.149756,0.296073,-92.000000,-2.756578,90.000000,-90.000000,0.000000,-1.000000,0.000000
339,neutron,57.000000,20.958911,-1.185234,-92.000000,2.785434,90.000000,-90.000000,0.000000,-1.000000,0.000000
268,neutron,57.000000,0.180172,0.270119,-92.000000,1.336374,90.000000,-90.000000,0.000000,-1.000000,0.000000
137,neutron,57.000000,0.261716,2.796574,-92.000000,2.366584,90.000000,-90.000000,0.000000,-1.000000,0.000000
270,neutron,57.000000,17.416289,0.601132,-92.000000,0.218970,90.000000,-90.000000,0.000000,-1.000000,0.000000
342,neutron,57.000000,0.222476,-1.999520,-92.000000,-2.479067,90.000000,-90.000000,0.000000,-1.000000,0.000000
31,neutron,57.000000,24.784497,-0.072799,-92.000000,1.763297,90.000000,-90.000000,0.000000,-1.000000,0.000000
33,neutron,57.000000,2.828147,1.850428,-92.000000,1.454949,90.000000,-90.000000,0.000000,-1.000000,0.000000
36,neutron,57.000000,0.658076,-1.256821,-92.000000,0.673003,90.000000,-90.000000,0.000000,-1.000000,0.000000
274,neutron,57.000000,2.869826,-0.045010,-92.000000,0.203507,90.000000,-90.000000,0.000000,-1.000000,0.000000
40,neutron,57.000000,12.638541,-1.626573,-92.000000,-2.768515,90.000000,-90.000000,0.000000,-1.000000,0.000000
42,neutron,56.874616,0.401512,1.326631,-92.000000,2.084909,91.039690,-79.489147,0.182392,-0.983058,-0.018145
44,neutron,57.000000,0.109693,2.572878,-92.000000,-2.050037,90.000000,-90.000000,0.000000,-1.000000,0.000000
141,neutron,57.000000,5.909030,0.685521,-92.000000,1.543555,90.000000,-90.000000,0.000000,-1.000000,0.000000
143,neutron,56.978652,0.000000,-0.002987,-92.000000,0.125473,90.453088,-94.327322,-0.075452,-0.997118,-0.007908
145,neutron,56.779945,0.118964,1.388809,-92.000000,-1.048571,101.126201,-96.972516,-0.119112,-0.973948,-0.192971
282,neutron,57.000000,11.673049,1.409827,-92.000000,1.600639,90.000000,-90.000000,0.000000,-1.000000,0.000000
345,neutron,57.000000,0.479271,-2.783077,-92.000000,0.001872,90.000000,-90.000000,0.000000,-1.000000,0.000000
285,neutron,57.000000,3.175800,1.226269,-92.000000,-2.560117,90.000000,-90.000000,0.000000,-1.000000,0.000000
147,neutron,57.000000,0.069459,-1.777074,-92.000000,-2.855117,90.000000,-90.000000,0.000000,-1.000000,0.000000
347,neutron,57.000000,37.612379,-0.093763,-92.000000,2.972344,90.000000,-90.000000,0.000000,-1.000000,0.000000
288,neutron,57.000000,0.521355,-1.926014,-92.000000,0.832953,90.000000,-90.000000,0.000000,-1.000000,0.000000
351,neutron,56.724263,0.020001,-1.986870,-92.000000,1.687790,74.370918,-88.495447,0.025286,-0.962694,0.269409
290,neutron,57.000000,39.157684,-0.299593,-92.000000,-2.684034,90.000000,-90.000000,0.000000,-1.000000,0.000000
291,neutron,57.000000,0.339293,-1.693453,-92.000000,0.150577,90.000000,-90.000000,0.000000,-1.000000,0.000000
352,neutron,57.000000,4.651092,-0.955072,-92.000000,-0.441828,90.000000,-90.000000,0.000000,-1.000000,0.000000
292,neutron,57.000000,14.006908,-2.893849,-92.000000,1.798245,90.000000,-90.000000,0.000000,-1.000000,0.000000
294,neutron,57.000000,0.308238,-0.423839,-92.000000,-0.704818,90.000000,-90.000000,0.000000,-1.000000,0.000000
297,neutron,56.814903,0.064881,-1.259314,-92.000000,0.507487,98.583326,-98.439193,-0.145116,-0.978093,-0.149248
400,neutron,57.000000,16.434620,0.223996,-92.000000,-0.162376,90.000000,-90.000000,0.000000,-1.000000,0.000000
353,neutron,56.482268,0.288647,-1.290097,-92.000000,-2.132486,86.035061,-109.814034,-0.338157,-0.938546,0.069146
51,neutron,56.714320,12.509854,-1.022344,-92.000000,-1.098810,75.146533,-91.699862,-0.028673,-0.966159,0.256348
401,neutron,57.000000,30.521927,0.947215,-92.000000,0.193495,90.000000,-90.000000,0.000000,-1.000000,0.000000
402,neutron,57.000000,0.000000,-2.360583,-92.000000,2.310672,90.000000,-90.000000,0.000000,-1.000000,0.000000
404,neutron,57.000000,0.806793,-2.707474,-92.000000,0.349208,90.000000,-90.000000,0.000000,-1.000000,0.000000
406,neutron,57.000000,0.805856,0.031868,-92.000000,-2.356882,90.000000,-90.000000,0.000000,-1.000000,0.000000
407,neutron,57.000000,23.508817,-1.826150,-92.000000,1.488305,90.000000,-90.000000,0.000000,-1.000000,0.000000
408,neutron,57.000000,0.260728,-1.490070,-92.000000,2.738588,90.000000,-90.000000,0.000000,-1.000000,0.000000
