particle_id,particle,energy_MeV,pos_x_m,pos_y_m,pos_z_m,dir_x,dir_y,dir_z
0,proton,95.01748343007264,-0.16003562601652965,99.0,0.008313917546905109,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.0016948311391007942,99.0,-0.0690922278459302,0.0,-1.0,0.0
0,proton,95.01748343007264,0.08041823001356369,99.0,-0.03292355590578391,0.0,-1.0,0.0
0,proton,95.01748343007264,0.0814447481786485,99.0,-0.020441699215302422,0.0,-1.0,0.0
0,proton,95.01748343007264,0.02905716597870639,99.0,-0.025362812168218576,0.0,-1.0,0.0
0,proton,95.01748343007264,0.18391824656180317,99.0,-0.07449098979871213,0.0,-1.0,0.0
0,proton,95.01748343007264,0.08850208525704117,99.0,-0.014842946453476419,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.02889974605222856,99.0,0.02267552780176786,0.0,-1.0,0.0
0,proton,95.01748343007264,0.03724916214523416,99.0,-0.041235472436237625,0.0,-1.0,0.0
0,proton,95.01748343007264,0.09112649667723544,99.0,-0.04443284258094634,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.09804906857659304,99.0,-0.041975493877902746,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.10282549311661,99.0,0.04990308172025626,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.12148052360138344,99.0,0.07257158338786898,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.015606271200914928,99.0,-0.07421405629776491,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.08418750052508037,99.0,0.017354624549001288,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.1447702294312781,99.0,0.029815175148480588,0.0,-1.0,0.0
0,proton,95.01748343007264,0.14589870910957292,99.0,-0.006652016866761215,0.0,-1.0,0.0
0,proton,95.01748343007264,0.02672753442922665,99.0,-0.0588845398565527,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.1006531520097517,99.0,-0.08342709341912738,0.0,-1.0,0.0
0,proton,95.01748343007264,0.056544114471157314,99.0,0.00034391845351955386,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.029506386874723733,99.0,0.033544058652578534,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.1309389869959619,99.0,0.002400154939229668,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.00676575938895449,99.0,-0.08187186338226685,0.0,-1.0,0.0
0,proton,95.01748343007264,0.00445190879346391,99.0,0.07912188919236052,0.0,-1.0,0.0
0,proton,95.01748343007264,0.09816365928606813,99.0,-0.05509843158509397,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.14525404589870777,99.0,0.07738540367545454,0.0,-1.0,0.0
0,proton,95.01748343007264,0.05875842095551981,99.0,0.0321335925833867,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.043001722815992016,99.0,0.025608072900942136,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.042923517386737664,99.0,0.058133400920060696,0.0,-1.0,0.0
0,proton,95.01748343007264,-0.06457781820857289,99.0,0.0196219015479005,0.0,-1.0,0.0
0,proton,95.01748343007264,0.07667748935461882,99.0,0.08572371056491854,0.0,-1.0,0.0
0,proton,95.01748343007264,0.050142332121594524,99.0,0.03882963038611362,0.0,-1.0,0.0
0,proton,95.01748343007264,0.02014150744035126,99.0,0.01169061793090874,0.0,-1.0,0.0
0,proton,95.01748343007264,0.169101067477888,99.0,0.06190993149404678,0.0,-1.0,0.0
